x,y,time
0.0,0.0,2025-07-04T11:36:17.288685
0.0,0.0,2025-07-04T11:36:17.292674
0.0,0.0,2025-07-04T11:36:17.294668
0.0,0.0,2025-07-04T11:36:17.296663
0.0,0.0,2025-07-04T11:36:17.298658
0.0,0.0,2025-07-04T11:36:17.300652
0.0,0.0,2025-07-04T11:36:17.302647
0.0,0.0,2025-07-04T11:36:17.305639
0.0,0.0,2025-07-04T11:36:17.307634
0.0,0.0,2025-07-04T11:36:17.309628
0.0,0.0,2025-07-04T11:36:17.311623
0.0,0.0,2025-07-04T11:36:17.313618
0.0,0.0,2025-07-04T11:36:17.315612
0.0,0.0,2025-07-04T11:36:17.317607
0.0,0.0,2025-07-04T11:36:17.319602
0.0,0.0,2025-07-04T11:36:17.322594
0.0,0.0,2025-07-04T11:36:17.324588
0.0,0.0,2025-07-04T11:36:17.326583
0.0,0.0,2025-07-04T11:36:17.328578
0.0,0.0,2025-07-04T11:36:17.330572
0.0,0.0,2025-07-04T11:36:17.332567
0.0,0.0,2025-07-04T11:36:17.334562
0.0,0.0,2025-07-04T11:36:17.337559
0.0,0.0,2025-07-04T11:36:17.340547
0.0,0.0,2025-07-04T11:36:17.342542
0.0,0.0,2025-07-04T11:36:17.344537
0.0,0.0,2025-07-04T11:36:17.346531
0.0,0.0,2025-07-04T11:36:17.348526
0.0,0.0,2025-07-04T11:36:17.350521
0.0,0.0,2025-07-04T11:36:17.352514
0.0,0.0,2025-07-04T11:36:17.355536
0.0,0.0,2025-07-04T11:36:17.358498
0.0,0.0,2025-07-04T11:36:17.360495
0.0,0.0,2025-07-04T11:36:17.362510
0.0,0.0,2025-07-04T11:36:17.364505
0.0,0.0,2025-07-04T11:36:17.366501
0.0,0.0,2025-07-04T11:36:17.368472
0.0,0.0,2025-07-04T11:36:17.370482
0.0,0.0,2025-07-04T11:36:17.373491
0.0,0.0,2025-07-04T11:36:17.375486
0.0,0.0,2025-07-04T11:36:17.377480
0.0,0.0,2025-07-04T11:36:17.379474
0.0,0.0,2025-07-04T11:36:17.381469
0.0,0.0,2025-07-04T11:36:17.383464
0.0,0.0,2025-07-04T11:36:17.385427
0.0,0.0,2025-07-04T11:36:17.387423
0.0,0.0,2025-07-04T11:36:17.390414
0.0,0.0,2025-07-04T11:36:17.392409
0.0,0.0,2025-07-04T11:36:17.395401
0.0,0.0,2025-07-04T11:36:17.397395
0.0,0.0,2025-07-04T11:36:17.399390
0.0,0.0,2025-07-04T11:36:17.401384
0.0,0.0,2025-07-04T11:36:17.403379
0.0,0.0,2025-07-04T11:36:17.406402
0.0,0.0,2025-07-04T11:36:17.408393
0.0,0.0,2025-07-04T11:36:17.410361
0.0,0.0,2025-07-04T11:36:17.412386
0.0,0.0,2025-07-04T11:36:17.414379
0.0,0.0,2025-07-04T11:36:17.416372
0.0,0.0,2025-07-04T11:36:17.418342
0.0,0.0,2025-07-04T11:36:17.421332
0.0,0.0,2025-07-04T11:36:17.424324
0.0,0.0,2025-07-04T11:36:17.426340
0.0,0.0,2025-07-04T11:36:17.428340
0.0,0.0,2025-07-04T11:36:17.430335
0.0,0.0,2025-07-04T11:36:17.432489
0.0,0.0,2025-07-04T11:36:17.435295
0.0,0.0,2025-07-04T11:36:17.438286
0.0,0.0,2025-07-04T11:36:17.441278
0.0,0.0,2025-07-04T11:36:17.444301
0.0,0.0,2025-07-04T11:36:17.446295
0.0,0.0,2025-07-04T11:36:17.448287
0.0,0.0,2025-07-04T11:36:17.450284
0.0,0.0,2025-07-04T11:36:17.453245
0.0,0.0,2025-07-04T11:36:17.456266
0.0,0.0,2025-07-04T11:36:17.459257
0.0,0.0,2025-07-04T11:36:17.461252
0.0,0.0,2025-07-04T11:36:17.463247
0.0,0.0,2025-07-04T11:36:17.465326
0.0,0.0,2025-07-04T11:36:17.467314
0.0,0.0,2025-07-04T11:36:17.469204
0.0,0.0,2025-07-04T11:36:17.471261
0.0,0.0,2025-07-04T11:36:17.473221
0.0,0.0,2025-07-04T11:36:17.475298
0.0,0.0,2025-07-04T11:36:17.478289
0.0,0.0,2025-07-04T11:36:17.481286
0.0,0.0,2025-07-04T11:36:17.484277
0.0,0.0,2025-07-04T11:36:17.487243
0.0,0.0,2025-07-04T11:36:17.490245
0.0,0.0,2025-07-04T11:36:17.493252
0.0,0.0,2025-07-04T11:36:17.496242
0.0,0.0,2025-07-04T11:36:17.499224
0.0,0.0,2025-07-04T11:36:17.502149
0.0,0.0,2025-07-04T11:36:17.505136
0.0,0.0,2025-07-04T11:36:17.508311
0.0,0.0,2025-07-04T11:36:17.511301
0.0,0.0,2025-07-04T11:36:17.514298
0.0,0.0,2025-07-04T11:36:17.517287
0.0,0.0,2025-07-04T11:36:17.520070
0.0,0.0,2025-07-04T11:36:17.522090
0.0,0.0,2025-07-04T11:36:17.524224
0.0,0.0,2025-07-04T11:36:17.527143
0.0,0.0,2025-07-04T11:36:17.530248
0.0,0.0,2025-07-04T11:36:17.533239
0.0,0.0,2025-07-04T11:36:17.536026
0.0,0.0,2025-07-04T11:36:17.539046
0.0,0.0,2025-07-04T11:36:17.542219
0.0,0.0,2025-07-04T11:36:17.545208
0.0,0.0,2025-07-04T11:36:17.548183
0.0,0.0,2025-07-04T11:36:17.551184
0.0,0.0,2025-07-04T11:36:17.553978
0.0,0.0,2025-07-04T11:36:17.556000
0.0,0.0,2025-07-04T11:36:17.558132
0.0,0.0,2025-07-04T11:36:17.561147
0.0,0.0,2025-07-04T11:36:17.564146
0.0,0.0,2025-07-04T11:36:17.567134
0.0,0.0,2025-07-04T11:36:17.569968
0.0,0.0,2025-07-04T11:36:17.573160
0.0,0.0,2025-07-04T11:36:17.575351
0.0,0.0,2025-07-04T11:36:17.578151
0.0,0.0,2025-07-04T11:36:17.580170
0.0,0.0,2025-07-04T11:36:17.582140
0.0,0.0,2025-07-04T11:36:17.584159
0.0,0.0,2025-07-04T11:36:17.587127
0.0,0.0,2025-07-04T11:36:17.590147
0.0,0.0,2025-07-04T11:36:17.594240
0.0,0.0,2025-07-04T11:36:17.598149
0.0,0.0,2025-07-04T11:36:17.602090
0.0,0.0,2025-07-04T11:36:17.606110
0.0,0.0,2025-07-04T11:36:17.610232
0.0,0.0,2025-07-04T11:36:17.613095
0.0,0.0,2025-07-04T11:36:17.616236
0.0,0.0,2025-07-04T11:36:17.619073
0.0,0.0,2025-07-04T11:36:17.622063
0.0,0.0,2025-07-04T11:36:17.625205
0.0,0.0,2025-07-04T11:36:17.628217
0.0,0.0,2025-07-04T11:36:17.631193
0.0,0.0,2025-07-04T11:36:17.634189
0.0,0.0,2025-07-04T11:36:17.636995
0.0,0.0,2025-07-04T11:36:17.639992
0.0,0.0,2025-07-04T11:36:17.642175
0.0,0.0,2025-07-04T11:36:17.645152
0.0,0.0,2025-07-04T11:36:17.648143
0.0,0.0,2025-07-04T11:36:17.651135
0.0,0.0,2025-07-04T11:36:17.654018
0.0,0.0,2025-07-04T11:36:17.656940
0.0,0.0,2025-07-04T11:36:17.659117
0.0,0.0,2025-07-04T11:36:17.662107
0.0,0.0,2025-07-04T11:36:17.665114
0.0,0.0,2025-07-04T11:36:17.667974
0.0,0.0,2025-07-04T11:36:17.670903
0.0,0.0,2025-07-04T11:36:17.673985
0.0,0.0,2025-07-04T11:36:17.677086
0.0,0.0,2025-07-04T11:36:17.680077
0.0,0.0,2025-07-04T11:36:17.683050
0.0,0.0,2025-07-04T11:36:17.685862
0.0,0.0,2025-07-04T11:36:17.688884
0.0,0.0,2025-07-04T11:36:17.692043
0.0,0.0,2025-07-04T11:36:17.695042
0.0,0.0,2025-07-04T11:36:17.698024
0.0,0.0,2025-07-04T11:36:17.701016
0.0,0.0,2025-07-04T11:36:17.704841
0.0,0.0,2025-07-04T11:36:17.708011
0.0,0.0,2025-07-04T11:36:17.710978
0.0,0.0,2025-07-04T11:36:17.713982
0.0,0.0,2025-07-04T11:36:17.716975
0.0,0.0,2025-07-04T11:36:17.719773
0.0,0.0,2025-07-04T11:36:17.722931
0.0,0.0,2025-07-04T11:36:17.725950
0.0,0.0,2025-07-04T11:36:17.728941
